Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
Xpo1,8,0,0,9,0,8,8,0,10,13,0,13,15,15,0,0,13,3,0,0,13,9,1,8,0,0,15,9,10,1,0,0,0,2,14,16,3,13,9,0,8,0,11,0,6,0,2,0,12,3,9,10,0,6,11,5,2,0,3,10,7,0,0,0,0,0,10,0,1,14,0,0,13,12,0,5,11,6,5,13,8,0,11,0,0,1,0,17,1,0,0,0,9,12,7,0,9,5,1,0,0,0,3,0,0,0,0,1,0,0,0,10,0,3,0,12,9,0,0,0,0,9,6,0,0,1,10,11,13,11,1,10,0,18,0,3,1,15,18,9,13,14,3,3,0,0,0,7,4,0,14,14,14,0,14,0,0,7,0,0,13,6,0,8,19,0,0,12,20,7,4,19,1,14,4,2,22,11,6,5,0,2,10,5,2,15,0,0
Ybx1,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,0,0,0,0,0,0,51,48,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,2,0,0,0,0,52,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,29,0,0,0,0,0,13,0,0,0,0,0,0,0,51,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6
Yif1b,0,0,8,8,4,3,7,10,1,9,3,7,9,5,5,3,12,8,0,8,12,2,3,6,3,4,1,15,4,8,5,10,9,7,9,1,11,2,7,7,7,8,13,3,9,5,2,0,9,5,9,0,3,12,6,9,7,18,3,7,0,10,0,6,2,11,7,13,8,6,10,7,6,4,4,1,7,1,5,9,0,0,14,8,6,10,4,1,7,11,1,6,7,13,8,4,13,6,7,13,4,0,0,9,12,7,9,1,9,1,9,10,10,11,12,1,10,2,7,1,10,7,13,0,11,6,3,8,8,13,1,13,1,6,8,1,6,6,11,10,12,1,13,9,8,5,5,0,14,10,0,9,8,11,3,11,7,5,8,1,3,10,5,5,3,6,2,8,0,1,7,7,10,0,8,2,12,7,8,7,3,6,8,6,5,11,1,7
Ywhag,13,19,17,11,4,20,3,1,16,1,9,8,4,15,17,9,9,4,26,8,4,5,19,8,2,11,5,8,4,3,8,12,4,5,4,10,7,12,9,3,3,23,1,9,0,13,9,10,15,10,4,17,22,1,6,6,19,8,12,15,2,2,5,5,6,2,17,10,9,10,7,2,13,9,10,13,7,13,7,8,10,15,17,3,10,12,2,18,10,3,9,12,15,5,10,3,11,9,0,13,3,6,4,3,5,11,3,5,10,2,0,4,2,5,4,15,2,10,9,7,5,20,4,5,5,6,6,12,6,7,9,5,20,6,6,8,1,4,9,12,4,5,14,2,4,9,10,24,12,1,10,12,12,5,14,5,20,3,7,9,7,6,24,8,1,4,4,3,5,5,1,14,15,9,7,2,1,7,3,0,4,3,15,7,4,6,3,4
Zc3h13,14,13,1,9,16,3,2,2,6,11,17,9,7,3,11,2,2,6,6,0,0,1,12,1,3,6,0,3,4,3,11,6,2,6,6,2,9,0,14,4,12,0,14,8,10,28,22,16,0,11,1,17,13,16,3,2,0,12,5,5,6,11,5,6,1,5,3,0,5,1,1,3,9,3,9,1,9,6,3,1,6,7,15,10,2,1,5,0,11,12,3,11,0,1,0,8,27,3,2,2,1,16,6,3,32,12,4,6,1,1,1,10,2,2,4,7,15,4,21,1,10,6,3,9,18,6,0,3,12,6,1,6,2,3,0,4,1,11,2,18,4,0,18,2,2,17,4,1,4,0,4,3,11,4,17,17,4,12,4,5,19,8,0,2,12,3,1,2,6,3,4,0,3,4,8,2,4,0,21,0,10,4,6,20,8,13,2,7
Zc3h15,4,11,1,8,12,9,11,10,1,9,13,10,5,13,2,7,13,11,7,5,5,2,16,12,3,8,14,18,1,0,12,0,0,10,1,6,1,1,10,3,17,10,9,0,1,5,7,0,0,3,0,4,14,0,1,11,4,12,13,9,15,2,5,16,6,15,2,10,14,1,7,15,1,7,13,0,0,14,7,10,5,6,1,0,10,14,9,0,12,6,0,5,7,0,4,1,15,7,0,4,1,10,3,0,1,4,1,8,10,5,0,2,12,0,5,12,11,2,0,4,12,11,4,1,10,4,15,15,5,0,0,0,4,1,0,0,2,5,1,13,2,18,7,9,14,8,6,1,0,6,0,2,9,7,7,13,1,4,8,15,0,11,8,5,7,15,6,7,10,3,3,11,1,3,7,7,0,1,11,1,16,0,3,0,6,11,7,10
Zc3h18,6,0,2,11,4,6,2,1,0,8,7,0,4,4,0,7,0,0,1,0,6,0,9,3,14,2,2,0,9,0,0,3,2,3,10,5,6,1,1,7,15,9,13,1,6,0,19,2,2,6,3,13,2,0,16,6,12,0,0,8,7,3,5,10,5,0,1,0,5,12,7,1,13,13,15,3,2,3,9,10,7,11,14,4,0,7,7,3,1,10,1,1,8,2,5,15,10,0,0,15,2,6,1,4,0,0,18,5,22,14,2,13,12,11,23,0,9,7,3,0,14,0,0,15,12,6,0,0,5,13,13,17,20,3,17,0,12,0,0,0,7,16,2,2,4,2,2,0,1,0,1,5,1,16,2,0,2,2,3,0,1,8,0,8,0,5,0,11,6,0,19,15,12,0,3,7,0,17,0,1,6,2,1,9,2,1,5,0
Zfand5,0,0,5,0,2,0,0,3,3,0,0,8,0,0,1,0,2,4,0,0,1,4,0,4,0,2,0,4,0,2,4,0,0,3,1,0,0,0,1,0,0,5,4,1,0,0,0,0,1,1,0,0,0,2,5,0,4,0,3,0,5,2,1,0,0,0,2,0,0,0,4,0,0,0,0,0,1,2,3,3,0,0,0,0,6,0,0,0,1,4,0,2,0,5,0,3,0,0,0,0,0,1,0,4,6,3,0,2,0,2,3,3,0,0,0,2,0,2,5,0,2,3,2,0,2,0,0,3,2,4,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,2,5,0,5,0,3,6,0,4,0,2,0,0,0,1,3,2,0,0,6,0,6,0,0,1,0,0,0,3,5,0,3,0,0,0,6,0,0,3,0
Zfp106,3,6,7,4,1,4,4,8,12,6,7,5,4,16,14,5,4,13,8,13,6,16,8,5,13,10,9,6,3,10,1,1,0,12,5,19,0,0,9,6,1,14,2,7,13,13,0,9,0,12,2,9,0,1,6,6,8,10,4,20,11,10,10,5,7,1,6,5,2,13,2,9,7,5,2,1,2,2,1,8,17,2,4,3,0,2,18,17,11,2,10,10,6,13,3,1,0,0,0,6,4,6,22,8,8,20,2,7,3,1,6,0,6,1,1,11,11,1,2,0,14,19,6,3,0,0,8,8,9,6,3,1,2,8,0,13,16,9,8,1,2,6,4,10,0,0,8,19,17,3,3,5,10,0,12,1,13,9,7,7,10,11,3,14,1,0,5,9,14,4,9,13,1,0,8,0,1,6,12,0,9,6,14,17,0,14,5,14
Zfp292,0,27,0,4,13,8,6,0,0,18,0,10,0,0,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,8,2,7,16,18,0,0,0,0,0,0,24,0,10,2,11,18,0,0,1,12,0,0,0,3,16,10,3,0,0,0,21,11,2,15,0,6,23,0,0,0,0,0,25,0,0,0,0,20,2,0,0,0,0,0,0,17,0,1,0,0,23,0,1,1,14,13,0,15,0,0,0,9,0,4,8,1,3,2,1,0,0,21,0,0,0,18,3,17,0,20,0,16,0,0,14,0,0,0,6,5,0,14,0,0,2,0,0,4,25,5,1,5,0,3,0,0,6,0,0,0,15,0,6,2,0,0,0,1,4,0,0,5,1,5,0,0,0,0,10,2,0,0,0,26,24,0,15,0,0,21,2,16,17,0,2,11
