Row,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,cell81,cell82,cell83,cell84,cell85,cell86,cell87,cell88,cell89,cell90,cell91,cell92,cell93,cell94,cell95,cell96,cell97,cell98,cell99,cell100,cell101,cell102,cell103,cell104,cell105,cell106,cell107,cell108,cell109,cell110,cell111,cell112,cell113,cell114,cell115,cell116,cell117,cell118,cell119,cell120,cell121,cell122,cell123,cell124,cell125,cell126,cell127,cell128,cell129,cell130,cell131,cell132,cell133,cell134,cell135,cell136,cell137,cell138,cell139,cell140,cell141,cell142,cell143,cell144,cell145,cell146,cell147,cell148,cell149,cell150,cell151,cell152,cell153,cell154,cell155,cell156,cell157,cell158,cell159,cell160,cell161,cell162,cell163,cell164,cell165,cell166,cell167,cell168,cell169,cell170,cell171,cell172,cell173,cell174,cell175,cell176,cell177,cell178,cell179,cell180,cell181,cell182,cell183,cell184,cell185,cell186,cell187,cell188
Prmt1,12,18,7,10,0,16,14,32,21,29,19,13,7,20,5,16,30,33,31,7,17,8,7,23,17,0,12,28,9,14,26,5,13,17,19,8,11,35,10,15,17,5,22,22,14,20,46,8,13,39,16,30,20,31,16,15,17,12,12,5,24,17,1,11,25,20,12,15,6,20,20,4,25,36,8,30,20,28,9,21,16,16,17,7,10,3,22,6,13,3,29,24,10,4,30,12,20,29,10,14,32,21,31,18,0,7,7,16,19,13,16,7,5,33,12,0,5,8,13,23,17,7,28,26,17,19,9,10,35,8,11,17,14,15,14,17,16,30,8,20,15,20,22,22,39,46,16,5,13,31,17,12,5,12,20,17,20,24,4,11,12,20,30,1,25,6,25,15,36,9,20,8,21,17,28,3,7,16,10,16,3,24,29,6,13,22,10,4
Prmt3,3,0,3,2,0,1,0,4,5,5,0,2,3,4,5,0,5,0,2,4,5,1,0,5,0,0,4,7,0,0,1,2,3,5,0,1,0,0,1,2,2,5,3,0,2,3,0,4,2,5,8,8,1,10,3,0,0,0,0,0,1,6,1,0,7,3,0,3,3,4,5,6,5,4,1,2,3,2,3,0,7,5,6,1,4,1,5,0,6,0,3,2,1,0,5,3,4,5,2,0,4,5,2,0,0,3,4,0,0,2,1,3,5,0,4,0,2,1,3,5,5,0,7,1,0,0,0,1,0,1,0,5,0,2,2,2,8,8,4,3,0,1,3,0,5,0,3,5,2,10,0,0,0,0,4,6,5,1,6,0,0,3,2,1,7,3,5,3,4,3,3,1,0,6,2,1,1,7,4,5,0,2,3,0,6,5,1,0
Pros1,11,0,7,0,12,5,2,0,0,0,0,0,0,0,0,0,5,0,2,0,7,0,2,5,4,0,0,1,0,5,0,3,0,0,2,0,0,5,0,0,3,1,5,0,2,0,0,2,0,0,6,2,13,0,11,6,5,7,0,4,14,0,11,5,1,0,0,0,4,0,2,9,6,0,6,0,0,0,7,0,0,0,0,3,8,9,4,0,0,2,0,0,0,0,5,11,0,0,0,2,0,0,2,0,12,0,0,0,0,0,5,7,0,0,0,0,3,0,0,5,7,2,1,0,4,2,0,0,5,0,0,0,5,0,2,3,6,2,2,0,6,13,5,0,0,0,11,1,0,0,5,7,4,0,0,0,2,14,9,5,0,0,0,11,1,4,6,0,0,7,0,6,0,0,0,9,3,0,8,0,2,0,0,0,0,4,0,0
Prpf4b,0,0,5,0,0,0,2,0,0,6,0,0,0,4,0,0,0,10,6,0,7,4,0,0,0,0,0,5,1,0,0,10,0,0,0,0,0,8,6,12,0,0,4,0,0,0,0,0,0,0,8,11,0,3,0,1,0,0,0,2,0,0,0,6,0,0,0,0,3,0,6,2,0,0,0,7,0,0,9,1,4,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,0,0,6,0,0,0,0,0,0,0,0,5,0,10,0,0,10,4,0,0,7,0,5,0,0,0,1,6,8,0,0,0,0,12,0,0,8,11,0,0,1,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,6,0,2,6,0,0,7,0,0,3,0,0,0,9,0,0,1,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0
Prpf6,5,16,0,0,0,2,0,8,4,0,7,2,0,7,0,0,0,3,20,0,0,7,13,0,25,0,0,0,0,0,0,0,6,9,0,13,0,10,7,0,0,9,0,6,0,6,18,13,0,6,0,7,10,16,0,4,0,7,2,0,15,0,1,5,0,0,0,0,0,11,0,0,0,10,6,5,0,2,2,0,0,13,5,0,5,0,0,13,0,13,0,0,0,15,0,5,7,0,0,0,8,4,20,16,0,0,0,0,7,2,2,0,0,3,0,0,0,7,6,0,0,13,0,0,25,0,0,7,10,13,0,9,0,0,0,0,0,7,13,6,4,10,0,6,6,18,0,9,0,16,0,7,0,2,11,0,0,15,0,5,0,0,5,1,0,0,0,0,10,2,0,6,0,5,2,0,0,0,5,13,13,0,0,13,0,0,0,15
Psma7,14,11,32,10,1,20,12,21,37,17,14,21,12,42,25,21,0,20,55,29,13,30,15,1,29,6,24,17,24,19,20,8,21,15,16,32,19,31,2,17,7,20,18,25,17,19,16,10,26,39,28,12,16,35,4,8,20,45,7,25,30,18,5,25,22,27,9,34,0,10,26,15,36,42,7,23,21,14,18,16,24,13,25,3,4,0,34,16,21,22,31,11,24,13,0,14,42,17,10,12,21,37,55,11,1,12,29,21,14,21,20,32,25,20,24,6,8,30,21,1,13,15,17,20,29,16,24,2,31,32,19,15,19,17,17,7,28,12,10,19,8,16,18,25,39,16,4,20,26,35,20,45,25,7,10,18,26,30,15,25,9,27,23,5,22,0,36,34,42,18,21,7,16,25,14,0,3,24,4,13,22,11,31,16,21,34,24,13
Psmb3,6,5,2,5,0,15,1,7,0,0,6,8,4,9,12,6,5,5,10,2,0,6,11,0,7,0,8,0,0,0,9,0,7,14,3,6,0,11,0,0,0,0,0,2,10,2,11,8,0,7,3,5,8,7,4,0,10,2,12,0,1,9,0,6,0,8,0,3,1,0,8,8,0,13,7,19,1,3,2,5,2,2,7,0,4,0,6,2,12,6,5,2,0,0,5,6,9,0,5,1,7,0,10,5,0,4,2,6,6,8,15,2,12,5,8,0,0,6,7,0,0,11,0,9,7,3,0,0,11,6,0,14,0,0,10,0,3,5,8,2,0,8,0,2,7,11,4,0,0,7,10,2,0,12,0,9,8,1,8,6,0,8,19,0,0,1,0,3,13,2,1,7,5,7,3,0,0,2,4,2,6,2,5,2,12,6,0,0
Psmc3,11,9,7,6,2,6,23,18,11,11,13,9,8,29,16,22,10,19,6,14,10,7,3,22,38,0,19,12,20,9,12,8,1,19,13,16,2,38,20,7,3,3,11,6,5,11,30,12,9,10,21,11,10,21,7,1,10,15,12,8,15,21,3,6,16,26,14,9,0,5,17,2,20,13,0,15,18,19,15,12,16,10,16,1,22,1,13,12,24,29,12,18,18,4,10,11,29,11,6,23,18,11,6,9,2,8,14,22,13,9,6,7,16,19,19,0,8,7,1,22,10,3,12,12,38,13,20,20,38,16,2,19,9,7,5,3,21,11,12,11,1,10,11,6,10,30,7,3,9,21,10,15,8,12,5,21,17,15,2,6,14,26,15,3,16,0,20,9,13,15,18,0,12,16,19,1,1,16,22,10,29,18,12,12,24,13,18,4
Psmc4,2,2,2,3,1,14,7,3,14,16,11,8,7,8,17,10,16,8,23,7,12,12,12,10,11,0,11,12,9,1,12,11,2,8,7,16,0,42,20,17,1,0,19,6,8,2,7,14,4,16,17,14,8,15,5,4,11,2,11,3,7,12,8,4,21,7,9,7,3,4,21,8,11,10,6,14,0,23,4,5,3,14,7,10,16,3,8,6,6,9,3,10,13,8,16,2,8,16,3,7,3,14,23,2,1,7,7,10,11,8,14,2,17,8,11,0,11,12,2,10,12,12,12,12,11,7,9,20,42,16,0,8,1,17,8,1,17,14,14,2,4,8,19,6,16,7,5,0,4,15,11,2,3,11,4,12,21,7,8,4,9,7,14,8,21,3,11,7,10,4,0,6,5,7,23,3,10,3,16,14,9,10,3,6,6,8,13,8
Psmd1,13,8,12,11,7,24,20,58,23,7,27,28,10,17,18,23,13,22,51,22,14,0,14,14,52,0,13,24,29,8,20,8,15,21,26,25,14,37,15,23,25,18,42,9,12,23,17,46,17,15,19,31,7,35,14,15,13,32,39,0,35,18,29,9,16,47,17,22,13,13,26,14,35,16,14,12,22,36,10,12,2,16,25,8,27,7,19,16,11,10,29,17,17,4,13,13,17,7,11,20,58,23,51,8,7,10,22,23,27,28,24,12,18,22,13,0,8,0,15,14,14,14,24,20,52,26,29,15,37,25,14,21,8,23,12,25,19,31,46,23,15,7,42,9,15,17,14,18,17,35,13,32,0,39,13,18,26,35,14,9,17,47,12,29,16,13,35,22,16,10,22,14,12,25,36,7,8,2,27,16,10,17,29,16,11,19,17,4
